sudo journalctl -u eqso-relay@CB -f | grep -E "RAW 0x|Mensaje"
abr 27 19:55:03 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:04 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:04 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:04 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:04 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:04 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:04 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:04 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:04 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:04 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:04 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:04 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:04 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:04 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:05 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:05 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:05 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
