el] pico RMS=6777 (-13.7 dBFS)  VOXumbral=800  gain=0.15
Apr 30 07:58:48 ubuntus eqso-relay-[36103]: [audio] 2026-04-30T07:58:48.501Z [nivel] pico RMS=6784 (-13.7 dBFS)  VOXumbral=800  gain=0.15
Apr 30 07:58:48 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:48.610Z [raw-rx #2] 1b: 0c
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.619Z [raw-tx ptt] 34b: 01d6e1a3bcf6eb71291a8eb8b89ba8765e62fa39678c0e2b4e451b81c93523338960
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.641Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.658Z [raw-tx ptt] 34b: 01d722a379369ba9aa5e9557d5812dbe23e4ccc5b4b5d4e49e235de1aaa8d9adba38
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.661Z [raw-tx ptt] 34b: 01d6e1a37cf6e1ec64de3170f1810c754d90acd3e7aa42fb13d07ce788a1ad0f7126
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.680Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.699Z [raw-tx ptt] 34b: 01d6e1a37cf69b2d74e54ac6aa818a7ae46ac2eae7c962f6195592818a76de6b2954
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.704Z [raw-tx ptt] 34b: 01d6e1a37cf681c7c5e0d0b741672b738d5ca9899baa1871ca2c2b67aa8ecd72376b
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.720Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.741Z [raw-tx ptt] 34b: 01d6a1a3b8f667c948cd6f0af9e7aaab90bcbd1a67a8518634f35267a92c2d2ec1da
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.749Z [raw-tx ptt] 34b: 01d6a2a3f935818c575b5aa57981adcb509c999b9b504a63c9bc7ae1b10ceb6e46dc
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.772Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.797Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.803Z [raw-tx ptt] 34b: 01d6e1a3bcf6c7ab38dd67972981cbe15c6dc711cd6c3b0e5945c8e7aa355c33b4fa
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.805Z [raw-tx ptt] 34b: 01d6e1a37cf6e7ac43a4723587678c872b6dc56581c939a0cc572367e8316752c155
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.830Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.842Z [raw-tx ptt] 34b: 01d6e1a3bcf6674c1cb18f94f9e78a033b334125613450b38dc8dcadeee89c8e48e8
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.845Z [raw-tx ptt] 34b: 01d6e29bb93e670e749b67ac319bed1ea1a9ba6281ab2a7a52aaed6756c71b91b8e7
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.871Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
